7 100
researcher	res_id	ins_id	first_name	last_name	sex	date_of_birth	res_ins_date
1	310001	78001	Ann-Marie	Ruiz	F	19/04/1965	30/07/2000
2	310002	78002	Jane	Wheatley	F	9/11/1968	12/1/1996
3	310003	78003	Marjorie	Browne	F	27/07/1972	10/12/2004
4	310004	78004	Sheena	Hamer	F	17/08/1983	15/03/2008
5	310005	78005	Bradley	Blevins	M	28/07/1991	14/07/2013
6	310006	78006	Kier	Mueller	M	29/06/1955	4/9/1987
7	310007	78007	Maisy	Andrews	F	25/07/1959	9/12/1992
8	310008	78008	Ida	Lister	F	14/02/1966	18/06/1985
9	310009	78009	Ingrid	Holding	F	19/08/1970	29/01/2003
10	310010	78010	Pierre	Valenzuela	M	10/2/1989	5/6/2014
11	310011	78011	Charles	Blackwell	M	27/10/1968	9/11/1983
12	310012	78012	Arham	Thompson	M	29/06/1969	14/08/1998
13	310013	78013	Eddie	Cresswell	M	18/02/1973	19/11/1997
14	310014	78014	Tayyib	Clifford	M	25/12/1977	15/09/2003
15	310015	78015	Spike	Ellison	M	11/2/1980	28/01/2007
16	310016	78016	Leja	Decker	F	21/07/1960	31/07/1994
17	310017	78017	Keiron	Gardner	M	27/02/1967	21/05/2001
18	310018	78018	Hadassah	Maxwell	F	31/10/1967	8/12/2003
19	310019	78019	Ritchie	Hatfield	M	28/04/1975	16/09/2009
20	310020	78020	Manraj	Farrell	M	27/08/1978	25/09/2007
21	310021	78021	Bree	Blackmore	F	6/6/1964	16/03/1995
22	310022	78022	Zavier	Maynard	M	21/07/1965	29/02/1996
23	310023	78023	Libbi	Forster	F	8/9/1965	19/09/1998
24	310024	78024	Emile	Charlton	M	5/5/1976	9/12/2005
25	310025	78025	Susannah	Daugherty	F	6/5/1987	17/06/2011
26	310026	78026	Keane	Beaumont	M	21/08/1978	26/04/2009
27	310027	78027	Brennan	Wheeler	M	4/3/1980	9/6/2006
28	310028	78028	Georgia	Alford	F	13/11/1981	1/9/2008
29	310029	78029	Rikki	Allen	M	29/08/1990	9/6/2009
30	310030	78030	Simrah	Hewitt	F	8/11/1978	18/07/2007
31	310031	78001	Maira	Vaughn	F	29/03/1979	21/09/2011
32	310032	78002	Joseph	Yang	M	9/8/1980	11/9/2013
33	310033	78003	Tyler-James	Zhang	M	21/11/1961	16/08/1995
34	310034	78004	Chad	Watson	M	7/9/1988	26/01/2018
35	310035	78005	Harriett	Whitley	F	13/09/1984	20/11/2016
36	310036	78006	Euan	Figueroa	M	4/4/1961	27/02/1989
37	310037	78007	Yannis	Walker	M	20/01/1972	16/05/2000
38	310038	78008	Cosmo	Edge	M	11/9/1972	21/09/2000
39	310039	78009	Karishma	Berger	F	31/07/1979	16/09/2009
40	310040	78010	Taybah	Bishop	F	8/9/1986	24/01/2014
41	310041	78011	Skylar	Hume	F	15/06/1961	17/09/1990
42	310042	78012	Donna	Higgins	F	30/03/1966	26/03/1995
43	310043	78013	Fiza	Oliver	F	27/10/1975	25/04/2002
44	310044	78014	Joy	Craft	M	23/08/1976	8/8/2004
45	310045	78015	Kay	Andrew	M	7/1/1979	1/6/2007
46	310046	78016	Akash	Mckinney	M	21/07/1959	6/9/1987
47	310047	78017	Daphne	Rosario	F	24/03/1961	16/07/1991
48	310048	78018	Rida	Maddox	F	29/05/1980	25/07/2006
49	310049	78019	Pixie	Hayes	F	11/7/1982	29/06/2009
50	310050	78020	Firat	Cantrell	M	26/03/1983	14/05/2010
51	310051	78021	Lewis	Patel	M	2/1/1957	13/01/1980
52	310052	78022	Phillippa	Owen	F	11/9/1970	26/02/1998
53	310053	78023	Ryan	Alaw	M	28/01/1972	5/12/2000
54	310054	78024	Osman	Bowler	M	21/12/1979	12/12/2009
55	310055	78025	Derek	Cousins	M	8/4/1990	9/7/2006
56	310056	78026	Addison	Lane	F	5/2/1957	6/12/1981
57	310057	78027	Fateh	Krause	M	7/12/1957	8/10/1985
58	310058	78028	Emanuel	Long	M	17/04/1959	18/11/1985
59	310059	78029	Tyrone	Hudson	M	13/08/1960	12/4/1991
60	310060	78030	Kade	Finney	F	20/12/1961	5/5/1987
61	310061	78001	Ziva	Hanson	F	30/05/1967	1/10/2000
62	310062	78002	Emily-Rose	Mendez	F	5/10/1968	15/09/2003
63	310063	78003	Elsa	Hagan	F	2/5/1972	14/01/2000
64	310064	78004	Lexi	Hobbs	F	1/7/1972	14/01/2000
65	310065	78005	Haiden	Stubbs	M	15/04/1973	17/08/1998
66	310066	78006	Wyatt	Lucas	M	23/04/1976	26/01/2003
67	310067	78007	Kole	Holman	M	24/06/1979	28/02/2004
68	310068	78008	Leonard	O'Doherty	M	27/10/1979	26/03/2011
69	310069	78009	Dilan	Puckett	M	16/03/1980	31/03/2007
70	310070	78010	Frederic	Brown	M	6/8/1982	19/07/2010
71	310071	78011	Nathanael	Christie	M	31/07/1959	14/05/1987
72	310072	78012	Louie	Wallis	M	1/9/1962	31/05/1989
73	310073	78013	Angus	Prince	M	28/09/1963	14/06/1992
74	310074	78014	Lyra	Cohen	F	10/12/1963	27/09/1992
75	310075	78015	Ihsan	Mullins	M	11/3/1974	25/08/2000
76	310076	78016	Walter	White	M	29/12/1978	29/11/2006
77	310077	78017	Alix	Gilbert	M	7/7/1981	18/07/2010
78	310078	78018	Alice	Rivera	F	30/05/1983	9/12/2017
79	310079	78019	Kristian	Lyon	M	24/02/1985	26/07/2005
80	310080	78020	Jesse	Pinkman	M	26/04/1985	14/03/2006
81	310081	78021	Saul	Goodman	M	2/8/1986	18/09/2008
82	310082	78022	Maximilian	Broadhurst	M	20/01/1988	13/09/2015
83	310083	78023	Damon	Thorpe	M	9/9/1989	11/11/2016
84	310084	78024	Stefanie	Mayo	F	21/05/1990	18/04/2019
