2 100
ins_phone	ins_id	phone_number
1	78001	5906501292
2	78001	8435744534
3	78001	2694249785
4	78001	4465658879
5	78002	2610317963
6	78002	7429967161
7	78002	6436667913
8	78002	1764236932
9	78002	2552714863
10	78002	1762664245
11	78003	9230406502
12	78003	7808149487
13	78003	9002646267
14	78003	9476451602
15	78003	9642838030
16	78004	1740424849
17	78004	8095649381
18	78004	3661266463
19	78004	1866964473
20	78005	462218113
21	78005	5406540672
22	78005	7009422589
23	78006	6844016106
24	78006	2165854605
25	78006	14151556
26	78006	7368138666
27	78006	7843950663
28	78007	5165873701
29	78007	2280692385
30	78007	7606059652
31	78007	923706705
32	78008	8257132081
33	78008	8062692712
34	78008	7903061179
35	78009	7041836768
36	78009	9389879341
37	78009	6365910164
38	78009	9291220029
39	78010	9601247511
40	78010	7437920160
41	78011	5505816795
42	78011	6414555430
43	78011	4009326896
44	78012	3657393243
45	78012	3556986582
46	78013	6867995739
47	78013	4180902010
48	78013	5990859395
49	78014	9885302485
50	78015	4540947932
51	78015	5655966898
52	78015	8785449604
53	78015	7813143926
54	78016	9782813469
55	78016	4197873371
56	78016	51638300
57	78016	5116342197
58	78016	5706236085
59	78017	710753183
60	78017	876411987
61	78018	6065426646
62	78018	3292504326
63	78018	5137889882
64	78019	7796999091
65	78019	792115421
66	78020	9801668666
67	78020	5762262874
68	78020	4349575696
69	78020	2843760643
70	78021	4113528907
71	78021	2451460034
72	78021	7622825884
73	78022	9660134600
74	78022	5314559825
75	78023	5567407319
76	78024	1634398301
77	78024	937589094
78	78024	2435950658
79	78024	9250023820
80	78025	6050020117
81	78025	5193307675
82	78025	1798355762
83	78025	6635380572
84	78026	3823083750
85	78026	8741798590
86	78027	7485379007
87	78027	7381470333
88	78027	4921674362
89	78027	9433586591
90	78027	6469918997
91	78028	5681717824
92	78028	5861212297
93	78029	9756915028
94	78029	2028696153
95	78029	9845271887
96	78030	7921964286
97	78030	2988844167
98	78030	7813038932
99	78030	2299027185
100	78030	3509525573
